or_institutionCode,uniqueToiDigBio
MOR,103500
BLMMD,4682
UCSB,36816
Bartlet Arboretum,3765
DEWV,10482
SC,3872
GRCH,2325
RMS,32465
UWL,7385
MOVC,1
NEBK,11011
INHS,1
GSW,13055
MWCF,5936
UCR,154188
ALBC,236
EVE,770
LA,17186
PEMB,4475
DSUND,1421
HCHM,4051
GMDRC,5494
"SEL, CM",1
TTU,10
PSUC,18
CLARK-A,7372
GMS,8139
USFS,3295
RENO,105077
WJC,706
"SEL, MO",1
FLAS,175133
TAWES,4350
F,409
NCZP,1758
MCTC,13798
FARM,47314
MCZ,3342
SEINet,258
TAC,7304
WFBM,4
DBG,275
RSA,334595
UAAH,13030
URV,2261
BBLM,4471
MASS,8723
KSTC,1
WCUH,24152
PERTH,1
FLD,16332
PHw,1
ISTC,1
HAW,4189
LCDI,1286
UARK,2727
TLU,1
UNLV,3143
KSP,31966
UF,6139
PH 987012,1
MICH,705829
HCOA,664
VSC,72641
TLE,25432
MUR,1
MSC,24659
PLU,6348
SMU,1273
"",1176
TU,67
ENMU,5170
Wilton Garden Club,1222
"SEL, FLAS",9
NYS,43264
UC,490298
UMFK,46285
SFV,7201
TENN,348454
USU,170
GVSC,3143
NDA,8379
NDOA,1271
PAC,64237
VMNH,66
GH,4
IBE,13934
LSU,152484
UVSC,15971
SIM,24496
ARCH,4727
UOMNH,1907
BUF,33
UAMb,4
UCMP,17748
GMNH,104
BEREA,25984
CHSC,63730
POM,87554
University of Vermont,39226
WSP,76
NMNHI,1
USUUB,6820
UWM,7816
PUR,4
UNCA,7873
Boston University,10844
SEL,6216
USAM,621
HSU,1
ID,154285
UTEP,40
UMMZ,150
ASC,80010
CAS,256653
ASU,96381
MISSA,26760
SDSM,913
HUNT,5633
MUGM,19
FH,14200
MCA,51332
AMES,1
CSU,2094
MBM,302860
TAES,846
UCSC,7339
ILL,107197
MAINE,13106
VT,308855
SUU,5637
YPM,3864
WIS,572192
UWBM,17
UAM,4
AMNH,5626
UTC,52
JOTR,4358
MO,208
VCU,18872
BRU,15730
SRP,83102
MARY,53662
FSU,169992
WEWO,1903
SAU,1
SYRF,6991
AVCH,2730
CalBG,160957
EPHR,1712
BING,19758
MSUNH,1302
HBSH,2921
NPS,2021
NAVA,13312
BRY,43699
MISS,76427
FHKSC,1
VPI,63189
DMNS,10
USMS,17669
SOC,18452
US,16578
CMC,20650
NCSLG,1
MESA,6456
ENLC,5695
MWI,42350
NHI,9001
PSM,11847
Yale Peabody Museum of Natural History,82579
WET,1
WWB,4097
BHSC,1
SFSU,34315
WGC,5002
Westfield State University,11031
MACF,247
WFU,126
UNM,3
AASU,5061
DAV,111498
JEPS,109684
ECON,2
NMSU,1
CIC,45229
CM,2451
WVA,12153
UCLA,690
NHA,85208
A,3
REED,5453
JTP,1
CONV,6434
SWRS,1672
LACM,176
BDI,1
EDOBLM,1412
UConn,11030
BYU,5
SIU,6785
GUAM,3
ALAJ,8670
GAS,40700
KANU,1184
GEO,21064
PGM,7591
UWSP,77920
DUKE,435991
PRC,211145
SD,127440
SNM,29124
CMNH,111
MDKY,10278
NCU,513817
ALA,64479
WASH,823
YM-YOSE,9204
WTU,362476
USNM,44125
BPBM,13733
ARIZ,35221
KNK,23479
TROY,14534
IRVC,5672
"SEL,AMES",1
Central Connecticut State University,1785
MONT,52768
USF,17181
University of New Hampshire,86140
BDWR,3999
CATA,2832
PH,583474
UCHT,42811
KU,638
NY,35221
TTRS,10505
MIN,706
NCSC,65433
CRMO,531
FTG,539
MU,157413
OS,49573
CNC,8
COLO,50666
CSUSB,2003
EKY,77207
MEM,15958
SDSU,33570
BPI,747457
EMC,8845
NLU,10589
NCSU,4
RHNM,6
CHRB,97119
UNA,2390
SALK,998
UCM,211
BOIS,7801
KIRI,7173
BUT,4913
Brown,73604
CUP,62383
ISC,98456
USCH,5589
CAU,5539
ETSU,23812
SENEY,741
DES,88609
PUL,2
HWBA,632
OMA,18989
PRI,747
"PT: SEL, USF",1
CDA,24115
SCFS,1000
LEDLIE,1
HUDC,8740
Harvard University,21323
KAIB,1
OBI,45766
CINC,41880
FHL,3380
KE,14972
NEB,47999
University of Massachusetts,93292
UVA,212
IDS,3134
NEBC,101
Western Connecticut State University,6008
NMC,1
DS,118417
APCR,1456
CLEMS,82228
MSB,35
OSC,82302
WCW,10852
HJAEF,650
ILLS,114868
MNA,38745
CSCA,69
FMNH,76
BLMAR,647
RMBL,8989
VDBBRIT,1
BOON,15244
CALVIN,4825
HLSD,3545
MOAR,25110
YUO,183
GA,270239
JMUH,5062
BALT,18614
DEK,5369
HPC,26584
HPSU,15758
JROH,4747
USCS,17844
EIU,19687
ODU,16130
SCIR,1296
SAPCL,258
UCD,102124
Colgate University,3094
University of Rhode Island,12556
UWFP,21517
SACT,2522
TENN-F,67625
IND,157572
"SEL, USF",61
?,1
USFWS,5180
AWC,1681
FTU,19359
DOV,52904
UNAF,3154
BRIT,138210
SBBG,131768
Deaccessioned,1
AUA,28033
WNC,6625
WSTC,1018
SJSU,10115
UWEC,1675
Connecituct College,1067
Keene State University,11660
JFBM,9
ECUH,5178
MOT,2488
CONN,3977
RM,6126
BHO,4900
VDB,171188
LINF,3569
UHM,1519
HSC,74762
UNCC,10595
BLM,3613
MSUB,10743
NULL,1
EWU,7913
MUHW,41083
PASA,2394
MONTU,65873
VVC,2515
GMUF,38862
UT,71854
University of Maine,44772
LSUM,99
CBG,68
CORT,5336
VALE,5034
MIL,3155
